 Fold  ID_PATCH  N_Parcel  Parcel_Cover   TILE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               dates-S2    id                                                                                                                                                           geometry
    1     10000       119      0.808032 t30uxv                                                                                                                                                                                                                                                                                                 {'0': 20180924, '1': 20180929, '2': 20181004, '3': 20181009, '4': 20181019, '5': 20181024, '6': 20181029, '7': 20181108, '8': 20181113, '9': 20181118, '10': 20181123, '11': 20190117, '12': 20190122, '13': 20190216, '14': 20190221, '15': 20190226, '16': 20190313, '17': 20190328, '18': 20190412, '19': 20190422, '20': 20190427, '21': 20190512, '22': 20190527, '23': 20190601, '24': 20190606, '25': 20190621, '26': 20190626, '27': 20190701, '28': 20190706, '29': 20190711, '30': 20190716, '31': 20190731, '32': 20190810, '33': 20190815, '34': 20190820, '35': 20190825, '36': 20190830, '37': 20190904, '38': 20190914, '39': 20190919, '40': 20190924, '41': 20191009, '42': 20191019} 10000      MULTIPOLYGON (((391504.73555 6956805.91524, 392781.90613 6956707.26166, 392683.24883 6955430.10128, 391406.09215 6955528.74838, 391504.73555 6956805.91524)))
    1     30240        42      0.544440 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30240             POLYGON ((884351.75763 6586450.78027, 885630.52115 6586450.87703, 885630.62201 6585172.11685, 884351.85772 6585172.01266, 884351.75763 6586450.78027))
    4     30241        36      0.398844 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30241             POLYGON ((871564.40932 6627372.59938, 872843.24757 6627372.46678, 872843.11800 6626093.63247, 871564.28064 6626093.75811, 871564.40932 6627372.59938))
    3     30242        22      0.496423 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30242             POLYGON ((815288.76760 6615865.66584, 816567.85550 6615865.61708, 816567.80883 6614586.53177, 815288.72142 6614586.57585, 815288.76760 6615865.66584))
    2     30243        40      0.455910 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30243             POLYGON ((860059.26627 6548081.57060, 861338.20616 6548081.84653, 861338.48644 6546802.90873, 860059.54428 6546802.62638, 860059.26627 6548081.57060))
    2     30244        46      0.655637 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30244             POLYGON ((872844.92777 6640160.86892, 874123.77078 6640160.66519, 874123.56987 6638881.82641, 872844.72826 6638882.02310, 872844.92777 6640160.86892))
    1     30245        22      0.695632 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30245             POLYGON ((819126.85860 6629935.39653, 820405.94091 6629935.29301, 820405.83929 6628656.21366, 819126.75803 6628656.31233, 819126.85860 6629935.39653))
    1     30246        48      0.638261 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30246             POLYGON ((860055.35595 6571102.23147, 861334.26362 6571102.39173, 861334.42778 6569823.48662, 860055.51876 6569823.31992, 860055.35595 6571102.23147))
    4     30247        49      0.731571 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30247             POLYGON ((877958.14027 6582613.89323, 879236.94272 6582614.00780, 879237.06134 6581335.20848, 877958.25797 6581335.08674, 877958.14027 6582613.89323))
    1     30248        39      0.781472 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30248             POLYGON ((847267.81757 6647838.52578, 848546.80049 6647838.31502, 848546.59187 6646559.33598, 847267.61069 6646559.54073, 847267.81757 6647838.52578))
    2     30249        63      0.753475 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30249             POLYGON ((847265.93507 6571100.70173, 848544.90456 6571100.84876, 848545.05522 6569821.88157, 847266.08439 6569821.72862, 847265.93507 6571100.70173))
    3     30250        49      0.600664 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30250             POLYGON ((870288.01382 6560872.64011, 871566.88070 6560872.86579, 871567.11069 6559594.00144, 870288.24203 6559593.76893, 870288.01382 6560872.64011))
    4     30251        29      0.488411 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30251             POLYGON ((875402.17544 6568546.57950, 876681.00497 6568546.76992, 876681.19965 6567267.94319, 875402.36865 6567267.74572, 875402.17544 6568546.57950))
    4     30252        62      0.771120 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30252             POLYGON ((825521.06832 6604353.81341, 826800.11472 6604353.80640, 826800.11025 6603074.76256, 825521.06386 6603074.76448, 825521.06832 6604353.81341))
    4     30253        45      0.714853 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30253             POLYGON ((833198.25265 6645282.63324, 834477.29498 6645282.45292, 834477.11654 6644003.41414, 833198.07587 6644003.58903, 833198.25265 6645282.63324))
    2     30254        31      0.650258 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30254             POLYGON ((880520.60259 6551922.74930, 881799.42673 6551923.03970, 881799.72181 6550644.21811, 880520.89553 6550643.92048, 880520.60259 6551922.74930))
    1     30255        38      0.710734 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30255             POLYGON ((880516.74107 6632486.82744, 881795.53337 6632486.65915, 881795.36820 6631207.87107, 880516.57699 6631208.03203, 880516.74107 6632486.82744))
    3     30256        58      0.714507 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30256             POLYGON ((856219.16917 6638884.45381, 857498.09775 6638884.27520, 857497.92163 6637605.35050, 856218.99442 6637605.52275, 856219.16917 6638884.45381))
    5     30257        38      0.633051 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30257             POLYGON ((897140.27446 6631205.85716, 898418.96606 6631205.68253, 898418.79491 6629926.99544, 897140.10433 6629927.16208, 897140.27446 6631205.85716))
    2     30258        50      0.776697 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30258             POLYGON ((857499.40615 6558312.60405, 858778.34242 6558312.82495, 858778.56741 6557033.89091, 857499.62928 6557033.66369, 857499.40615 6558312.60405))
    1     30259        68      0.697728 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30259             POLYGON ((883072.66293 6591565.77731, 884351.43130 6591565.84381, 884351.50178 6590287.07886, 883072.73284 6590287.00498, 883072.66293 6591565.77731))
    1     30260        52      0.798051 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30260             POLYGON ((867728.75153 6635046.18395, 869007.61690 6635046.01325, 869007.44900 6633767.15190, 867728.58484 6633767.31579, 867728.75153 6635046.18395))
    3     30261        20      0.805746 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30261             POLYGON ((815291.27441 6646564.09701, 816570.38939 6646563.93564, 816570.22951 6645284.82388, 815291.11626 6645284.98055, 815291.27441 6646564.09701))
    2     30262        82      0.550940 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30262             POLYGON ((842148.30622 6608190.65673, 843427.28249 6608190.63209, 843427.26065 6606911.65878, 842148.28453 6606911.67767, 842148.30622 6608190.65673))
    4     30263        49      0.540903 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30263             POLYGON ((904816.64471 6553207.31100, 906095.32008 6553207.63370, 906095.64793 6551928.96138, 904816.97044 6551928.63048, 904816.64471 6553207.31100))
    4     30264        57      0.887989 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30264             POLYGON ((863892.46094 6637604.46902, 865171.34909 6637604.28869, 865171.17144 6636325.40453, 863892.28460 6636325.57819, 863892.46094 6637604.46902))
    4     30265        57      0.841689 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30265             POLYGON ((856220.13786 6645279.13116, 857499.07409 6645278.92076, 857498.86605 6643999.98854, 856219.93146 6644000.19258, 856220.13786 6645279.13116))
    3     30266       100      0.459867 t31tfm                                                                                                                                                                                                                                                 {'0': 20180920, '1': 20180930, '2': 20181005, '3': 20181010, '4': 20181015, '5': 20181020, '6': 20181104, '7': 20181109, '8': 20181124, '9': 20181209, '10': 20181219, '11': 20190103, '12': 20190128, '13': 20190212, '14': 20190217, '15': 20190222, '16': 20190227, '17': 20190319, '18': 20190324, '19': 20190329, '20': 20190413, '21': 20190418, '22': 20190503, '23': 20190513, '24': 20190523, '25': 20190602, '26': 20190607, '27': 20190612, '28': 20190617, '29': 20190627, '30': 20190702, '31': 20190707, '32': 20190712, '33': 20190717, '34': 20190722, '35': 20190801, '36': 20190811, '37': 20190821, '38': 20190826, '39': 20190831, '40': 20190905, '41': 20190910, '42': 20190915, '43': 20190920, '44': 20190930, '45': 20191025} 30266             POLYGON ((829361.48789 6557029.14066, 830640.55274 6557029.32659, 830640.74222 6555750.26340, 829361.67548 6555750.07227, 829361.48789 6557029.14066))
